Race and Hispanic origin of householder,Year,Number in thousands,Total,"Under $15,000","15,000 to 24,999","25,000 to 34,999","35,000 to 49,999","50,000 to 74,999","75,000 to 99,999","100,000 to 149,999","150,000 to 199,999","$200,000 and over",Median Estimate,Margin of error,Mean Estimate,Margin of error
,2013,"1,045",100,21.4,13.3,8.9,15.2,10.8,15.3,9.4,2.4,3.4,"40,028","7,573","57,600","6,827"
,2013,"1,108",100,16.1,15,12.6,14.1,19.5,8.8,9.5,2.4,2,"41,438","3,182","53,998","3,973"
,2012,"1,196",100,21.3,12.7,10.6,15.4,17.2,9.2,8.3,3.3,2.1,"40,648","3,574","55,874","4,790"
,2011,"1,108",100,17.3,15.3,12,15.5,16.1,9.3,8.4,2.7,3.4,"39,386","3,646","56,701","4,284"
,2010,"1,036",100,18.5,14.3,12.5,12.5,14.4,10.7,11,4,2.1,"39,867","4,686","56,670","4,744"
,2009,907,100,16.2,13.5,10.2,15.7,17.5,10.5,10.2,3.7,2.6,"43,664","2,352","60,695","4,479"
,2008,977,100,15.2,11.5,11.9,15.9,16.2,12.9,11.1,3.3,2.1,"44,482","3,545","63,329","6,662"
,2007,943,100,18.2,9.2,12.5,14.2,20.1,10.1,10.1,3.3,2.3,"46,697","3,656","59,903","4,448"
,2006,888,100,16.3,14.2,11.3,15.2,18.5,8.7,8.4,3.7,3.5,"43,430","2,940","60,007","4,751"
,2005,817,100,18.3,10.8,10.1,13.2,16.7,11.6,11.6,4.7,2.9,"47,163","4,453","63,504","4,325"
,2004,824,100,15.7,12.7,11.1,15.2,16.9,10,11.2,4.2,3.1,"45,552","3,216","63,958","5,887"
,2003,754,100,15.7,13.2,10.7,12.9,14.8,9.8,12.5,5.7,4.8,"47,629",N,"68,530",N
,2002,764,100,14.1,11.1,8.5,17.5,20.3,10.2,11.7,4.9,1.9,"49,426",N,"61,741",N
TWO OR MORE RACES,2021,"2,330",100,11.4,7.8,8.7,11.5,16.4,10.7,18.1,7.1,8.3,"63,986","5,019","90,460","5,274"
,2020,"2,242",100,9.9,8.1,7.4,8.9,18,12.6,16.9,8.1,10.2,"72,775","3,373","106,094","8,018"
,2019,"2,269",100,8.6,9.4,9.5,11.7,17.5,11.5,13.5,9.2,9.2,"65,237","3,453","93,522","5,862"
,2018,"2,207",100,10.8,10.4,9.8,11.6,18.1,12,14.1,5.4,7.6,"59,955","3,856","84,645","5,918"
,2017,"2,086",100,11.4,8.3,11.2,12.8,17.7,11.9,13.1,4.8,8.7,"58,916","4,249","83,150","4,754"
,2017,"2,094",100,10.8,7.9,11.6,13.5,16.9,12.6,13.7,5.2,7.7,"59,620","4,970","83,192","4,729"
,2016,"2,015",100,10,11.1,9,13.3,18.6,12.2,11.9,7.2,6.6,"58,083","2,755","82,816","5,243"
,2015,"1,870",100,13.7,10.3,10,10.9,18.8,11.2,12.3,7.5,5.3,"56,730","3,281","80,954","6,999"
,2014,"1,793",100,13.1,11.6,10,12.5,16.9,11.6,13,5.5,5.7,"53,397","2,911","77,264","5,112"
,2013,"1,843",100,11.2,10.2,11,11.8,18.1,9.5,13.7,7.6,6.9,"56,438","6,609","96,186","18,060"
,2013,"1,860",100,13.3,9.2,11.9,13.2,16.7,10.9,14,5,5.9,"53,528","3,035","74,935","5,158"
,2012,"1,776",100,13.8,11,10.7,12.2,18.1,10.1,12.8,6,5.3,"52,382","2,716","73,529","4,820"
,2011,"1,764",100,13.3,10,11.6,13.6,16.6,12.3,11.9,5,5.6,"52,844","4,787","74,572","4,289"
,2010,"1,810",100,13.9,10.7,9.7,13.4,18.3,9.8,12.8,6.6,4.8,"52,085","2,321","74,155","4,633"
,2009,"1,484",100,13.1,9.3,11.2,13.1,17.1,11.5,12.5,6.2,6,"53,342","2,395","76,546","3,899"
,2008,"1,465",100,11.5,9,9.8,13.8,17.1,12.5,14.9,6.3,5,"56,485","3,994","78,361","4,903"
,2007,"1,457",100,11.4,11,8.7,13.1,15.8,13.2,14,6.6,6.1,"56,136","4,511","77,265","3,536"
,2006,"1,393",100,9.7,9.7,9.7,12.7,17.9,12.4,14.7,7.8,5.4,"60,002","4,292","80,071","5,008"
,2005,"1,506",100,12.1,8.2,11.2,13.1,17.2,11.1,15.8,5.9,5.3,"57,917","3,684","79,470","5,093"
,2004,"1,517",100,10.3,9.7,7.7,13.7,19.2,13.6,15.2,5,5.4,"59,904","2,445","81,290","5,902"
,2003,"1,407",100,9,11.2,10,12.8,17.5,14.4,15.8,4.9,4.2,"60,246",N,"76,748",N
,2002,"1,243",100,12.5,9.7,9.2,13.7,19.1,12.3,12.5,6,5.1,"55,278",N,"79,382",N
HISPANIC (ANY RACE),2021,"19,230",100,11.2,8.3,9.4,13.9,18.4,12,14.3,5.9,6.6,"57,981","1,585","80,879","1,653"
,2020,"18,340",100,10.1,9.2,10,14.1,18.4,12.8,13.8,5.9,5.7,"58,015","1,213","78,803","1,472"
,2019,"17,667",100,10.1,8.1,10.2,13.5,19.2,12.5,13.9,6.3,6.1,"59,467","1,243","79,543","1,718"
,2018,"17,758",100,10.6,10.1,10.5,14.2,18.3,13.3,12.6,5.4,5,"55,513",793,"76,547","1,746"
,2017,"17,336",100,11.1,10,10.7,14.3,18.4,12.5,12.9,5.1,5.1,"55,448",838,"74,785","1,671"
,2017,"17,318",100,10.8,10,10.8,14.1,17.9,12.8,13.3,5.5,4.9,"55,800",796,"75,510","1,571"
,2016,"16,915",100,11.1,10.4,10.2,15.1,17.9,12.5,12.9,5.4,4.5,"53,827","1,256","75,436","1,501"
,2015,"16,667",100,12,10.7,12.2,14,18.2,11.8,11.8,4.8,4.5,"51,631","1,157","72,746","1,575"
,2014,"16,239",100,12.7,11.6,12.4,14.4,18.6,11.3,11.7,3.9,3.3,"48,676",972,"65,909","1,236"
,2013,"16,088",100,12.8,13,13.2,15.1,16.6,10,10.8,4.2,4.4,"46,234","2,277","67,122","3,262"
,2013,"15,811",100,13.2,12.1,12.4,14.5,18.1,11.6,11.3,4,2.8,"47,720","1,058","63,658","1,412"
,2012,"15,589",100,14.1,12.4,11.6,16,17.7,10.6,10.8,3.7,3,"46,113","1,038","63,157","1,357"
,2011,"14,939",100,13.7,11.7,11.8,16.5,18.4,10.4,10.6,3.9,3,"46,629","1,086","63,203","1,180"
,2010,"14,435",100,13.8,12.2,11.7,15.6,17.8,10.9,10.8,4.2,2.9,"46,863","1,192","64,002","1,352"
,2009,"13,298",100,11.9,11.9,12.5,15.4,17.8,11.7,11.3,4.3,3.3,"48,152","1,045","66,115","1,193"
,2008,"13,425",100,11.9,11.9,11.8,16.2,18.1,11.5,11.3,4.3,3.1,"47,826","1,008","65,056","1,108"
,2007,"13,339",100,11.2,11.2,11.9,15.6,18.5,12.8,11.8,4,3,"50,666","1,121","66,580","1,153"
,2006,"12,973",100,11.4,10.8,11.4,15.9,19.2,11.6,11.9,4.3,3.4,"50,893","1,119","68,128","1,285"
,2005,"12,519",100,11.5,10.5,13,15.3,19.3,12,11.2,4,3.2,"50,020",817,"65,556","1,084"
,2004,"12,178",100,11.8,11,12.4,15.3,20,11.1,11.2,4,3,"49,276","1,135","65,964","1,327"
,2003,"11,693",100,11.4,11.3,11.7,16.7,19.1,11.3,11.7,3.6,3.3,"48,726","1,115","65,665","1,195"
,2002,"11,339",100,10.9,11.3,11.6,16.2,18.3,12.9,11.5,4.2,3,"49,993","1,197","67,789","1,491"
